번호,뉴스 제목,링크,기사 요약
1,"경호처 폐지론에도 65명 증원…""尹 경호·사저 경비 위해 필요""",https://n.news.naver.com/article/025/0003440476,"지난 3월 7일 서울 용산구 한남동 대통령 관저 입구에서 경호처 직원들이 경계근무를 서고 
있는 모습. 뉴스1윤석열 전 대통령 경호를 위해 대통령 경호처 정원이 65명 더 늘어난다.
 전세 사기 피해자를 지원하는 특별법은 2년 더 연장됐다.정부는 이주호 대통령 권한대행 부"
2,"하늘 나는 2인승 슈퍼카, 내년에 나온다",https://n.news.naver.com/article/092/0002374045,"클라인 비전 ‘에어카’, 최저사양 가격 약 11억 원슬로바키아의 스타트업 클라인 비전(Kl
ein Vision)이 개발한 하늘을 나는 자동차가 올해 말 인증을 받고 내년 초부터 고객
에게 인도될 예정이라고 과학전문매체 뉴아틀라스가 12일(현지시간) 보도했다.클라인 비전은 "
3,"""자격증 따면 뭐하나요""…3040 주부들까지 몰리더니 '눈물'",https://n.news.naver.com/article/015/0005131125,"불황에 ""꽃 안사요""3040女 몰리던 '이 자격증'까지 '시들'사진은 기사와 무관함. /사
진=게티이미지뱅크불황이 장기화하면서 꽃소비가 줄어들면서 '화훼 장식 자격' 응시 인원도 최
근 급감한 것으로 나타났다. 반면 시설원예 분야는 정부의 스마트팜 지원 정책 덕분에 자격 "
4,"'맥주 성수기' 다가오는데…주류사, 줄줄이 가격 인상",https://n.news.naver.com/article/666/0000072444,"테라·켈리 등 주요제품 출고가 2.7% 인상카스·한맥 등 지난 4월부터 2.9% 올라하이트
진로가 주요 원부자재 가격 상승 등의 이유로 맥주 제품 출고가를 오는 28일부터 평균 2.
7% 인상한다고 밝혔다. 연합뉴스여름철 맥주 성수기를 앞두고 오비맥주 카스·한맥에 이어 하"
5,"[속보] 美, 중국발 소액소포 관세 120→54% 인하 행정명령",https://n.news.naver.com/article/016/0002470525,"도널드 트럼프 미국 대통령이 12일(현지시간) 백악관 루즈벨트룸에서 기자회견을 하고 있다.
 [EPA][헤럴드경제=정목희 기자] 미 백악관은 12일(현지시간) 오는 14일부터 중국발
 소액 수입품에 대한 관세를 기존의 120%에서 54%로 인하한다고 발표했다.도널드 트럼프"
6,[속보]‘좁혀지는 격차’ 이재명 49.5%·김문수 38.2%…후보 등록 후 첫 조사-한길리서치,https://n.news.naver.com/article/021/0002709024,"정당 지지율 민주당 42.5%·국힘 36.8%연합뉴스 자료 사진대선 후보 공식 등록 이후 
이뤄진 첫 ‘대통령 후보 지지도’ 여론조사에서 김문수 국민의힘 후보가 이재명 더불어민주당 
후보를 11.3%포인트 격차로 추격하는 것으로 13일 나타났다. 이전 조사보다 격차가 줄고"
7,"[속보]美, 중국발 소액소포 관세 120→54% 인하 행정명령",https://n.news.naver.com/article/079/0004023679,"연합뉴스美, 중국발 소액소포 관세 120→54% 인하 행정명령※CBS노컷뉴스는 여러분의 제
보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알
려주세요.이메일 :jebo@cbs.co.kr카카오톡 :@노컷뉴스사이트 :https://ur"
8,"이제훈 “피부 왜 이리 매끈해?”…매일 ‘이것’ 먹고 운동, 어떻게?",https://n.news.naver.com/article/296/0000089455,"[셀럽헬스] 배우 이제훈 동안 비결배우 이제훈이 동안 비결을 공개했다. [사진=유튜브 채널
 '할명수']배우 이제훈이 동안 비결을 공개했다.최근 유튜브 채널 '할명수'에는 '소주 힘
을 빌려 예능 하러 왔다가 주사만 부리고 간 대배우들'이라는 제목의 영상이 올라왔다. 영상"
9,"""방시혁, 김범수와 무슨 얘기?""…'SM 시세조종' 재판에 소환",https://n.news.naver.com/article/243/0000077862,"한경협 정기총회 참석한 방시혁 의장 [사진 연합뉴스]방시혁 하이브 의장이 법원으로부터 'S
M엔터테인먼트 시세조종 의혹' 재판에 증인으로 출석할 것을 통보받았다.13일 법조계에 따르
면 서울남부지법 형사합의15부(양환승 부장판사)는 지난 8일 방 의장에게 증인소환장을 발송"
10,What do they stand for? Candidates announce major pledges for June 3 presidential election.,https://n.news.naver.com/article/640/0000070050,"From left: Presidential candidates Lee Jae-myung, 
Kim Moon-soo and Lee Jun-seok on the campaign trai
l on May 12, the first day of official campaigning"
11,진성준 “이재명 암살 구체적 제보…사거리 2㎞ ‘괴물 소총’ 밀반입”,https://n.news.naver.com/article/022/0004034999,"“경찰 수사 7건…당에는 더 많은 제보 들어오는 중”“전문 킬러가 쓰는 저격 소총…지금 시
기에 밀반입?”“25만원 민생회복지원금, 집권 후 재정 상황 살펴 판단”더불어민주당 중앙선
거대책위원회 진성준 정책본부장은 13일 이재명 대선 후보 암살 테러와 관련한 구체적인 제보"
12,"""점심값 감당 안돼"" 달려간 구내식당…조용히 웃은 급식업계",https://n.news.naver.com/article/277/0005591250,"CJ·현대·신세계 단체급식 수요 늘며 식자재·급식 고루 성장소비경기 악화에 급식업계 업황 
개선세는 이어질 전망물가 상승으로 직장인들의 점심값 지출이 늘어나는 '런치플레이션(런치+인
플레이션)'이 갈수록 악화하면서 단체급식과 식자재 유통 업체들이 올해 1분기 대체로 안정적"
13,대한민국 국민인데 투표할 수 없답니다,https://n.news.naver.com/article/047/0002473046,"선거 참여 불가능한 남극 세종기지 대원들의 현실... 제도 보완되어 참정권 행사할 수 있어
야9살 아들과 자동차 세계여행을 하다 갑자기 남극세종과학기지 월동대에 선발된 아빠, 202
4년 12월부터 약 1년간 남극기지에서 대기과학 연구원으로 살아가는 이야기를 씁니다. <기"
14,"민주, '후보 테러 위협' 초비상...방탄유리 검토도",https://n.news.naver.com/article/052/0002192413,"[앵커]이재명 더불어민주당 대선 후보를 향한 테러 위협 제보가 수백 건에 이르는 거로 알려
지면서 경호에 초비상이 걸렸습니다.방탄복을 입고 유세하는가 하면, 미국 대통령 선거 유세 
때 활용하는 4면 방탄유리까지 도입이 검토되고 있습니다.박희재 기자가 보도합니다.[기자]유"
15,"“1만번 충·방전 후 성능 95%이상 유지”…GIST, 차세대 고성능 레독스 슈퍼커패시터 기술 개발",https://n.news.naver.com/article/030/0003311721,"a) 바이올로젠의 치환기 변화에 따른 셀 성능 변화 모식도 b) 1-3 ㎚ 크기의 기공 내
에서 부틸 비올로겐(BV)의 흡착 및 확산 경향 c) 0.8 ㎚ 이하의 미세기공에서 BV와
 기공 간 매칭을 통한 자가방전 억제 메커니즘. 레독스 분자의 크기에 따라 셀 성능이 달라"
16,‘가족 밖에서도 살만한 삶’을 위한 방법을 발명하기,https://n.news.naver.com/article/007/0000007920,"연대와 돌봄의 법① 소수자들의 돌봄과 연대의 경로를 드러내자가족구성권 운동은 가족제도를 둘
러싼 시민들의 위계를 문제삼고, 차별 받고 취약한 사람일수록 가족을 떠나서 생존할 수 없게
 만드는 시설사회 구조를 바꾸기 위해서 대안을 모색한다. ‘시설사회’에 대한 자세한 내용은"
17,돌보는 사람은 누가 돌보나,https://n.news.naver.com/article/036/0000051626,"[표지이야기]치매 노인·정신질환자·장애인 가족이 말하는 제도적 미비점…개인에게 책임 떠밀고
 공적 인프라 없이 ‘통합지원법’ 설익은 출발2025년 4월30일 경기도 용인시 집에 있는
 송지은씨(오른쪽) 부부의 모습. 두 사람이 작업물을 함께 보고 있다. 류우종 기자“노세 "
18,"""美·中, 워싱턴 IMF 지하 비밀회담""…협상 '막전막후'",https://n.news.naver.com/article/215/0001209055,"양보없는 관세 폭탄을 주고받으며 갈등을 지속하던 미국과 중국이 '깜짝 합의'에 이번 합의의
 막전 막후에 관심이 쏠리고 있다.파이낸셜타임스(FT)는 지난 주말 스위스 제네바에서 미·
중 관세 합의가 있기 3주 전 미국 워싱턴DC에 있는 국제통화기금(IMF) 본부 건물 지하"
19,"진성준 ""이재명 암살 테러 7건 경찰 수사 중…사거리 2km 괴물 소총 밀반입 제보까지""",https://n.news.naver.com/article/469/0000864402,"“전 국민 25만 원 지원금은 집권 후 판단”""중산층 세 부담 낮출 조세 개편 필요""이재명
 더불어민주당 대통령 후보가 제21대 대통령선거 공식 선거운동이 시작된 12일 서울 종로구
 청계광장에서 열린 중앙선거대책위원회 출정식에서 방탄복 위에 선거 운동복을 입고 있다. 뉴"
20,곡물 씨앗 추출 물질 '탈모 치료' 가능성 입증,https://n.news.naver.com/article/584/0000032316,"게티이미지뱅크 제공곡물 '치아'의 씨앗인 '치아씨드'에서 추출한 물질이 탈모 치료에 도움이
 되는 것으로 나타났다. 동물실험을 통해 치료 효과와 안전성이 확인됐다.연세대는 신용 생명
공학과 교수, 박창욱 세브란스병원 피부과 교수 공동 연구팀이 치아씨드 점액질(CSM)에서 "
